isco_08_code;n;Proximidad física;Correo electrónico;Independencia
4413;1;3,12;4,7;3,67
4414;2;4,405;3,0325;4,415
4415;2;3,045;4,56;2,67
4416;1;3,13;5;3,67
4419;4;2,97;4,825;3,835
5111;3;4,386666667;3,356666667;4,336666667
5112;2;4,17;2,985;4,17
5113;3;3,793333333;3,671666667;4,39
5120;6;3,658;2,75;4,066
5131;2;4;1,405;2,33
5132;1;4,14;1,97;4
5141;3;4,62;2,581666667;4,61
5142;6;4,61;2,4375;3,918333333
5151;1;3,04;3,74;5,67
5152;2;3,04;3,74;5,67
5153;1;2,93;2,75;2
5161;1;NA;NA;NA
5162;3;4,405;3,0325;4,415
5163;3;3,873333333;3,693333333;4,553333333
5164;4;4,0075;3,45875;4,1225
5165;1;4,04;3,92;5,67
5169;5;3,9675;3,55375;4,5425
5211;1;3,67;4,48;3,67
5212;2;3,78;2,96;3
5221;1;3,21;4,85;6
5222;1;3,63;4,09;4,67
5223;2;3,715;3,99;3,335
5230;2;3,895;2,01;2,835
5241;1;3,55;3,69;1,67
5242;1;3,69;3,64;3,33
5243;1;3,67;4,48;3,67
5244;1;4,07;2,06;2,67
5245;2;3,52;3,5;4,335
5246;3;4,07;1,77;2,001666667
5249;2;3,7;3,99;2,67
5311;2;4,1825;3,56;5
5312;1;4,52;3,71;3,33
5321;2;4,6;2,165;3,665
5322;3;4,39;2,618333333;3,833333333
5329;8;4,479375;3,35875;3,251875
5411;2;4,1175;4,2875;5,1675
5412;3;4,085;4,626666667;5,666666667
5413;2;4,035;4,03;5
5414;4;4,086666667;3,626666667;4,333333333
5419;8;3,472857143;3,57;4,427142857
6111;2;2,69375;3,0125;4,0825
6112;2;2,69375;3,0125;4,0825
6113;3;3,266666667;2,446666667;3,886666667
6114;2;2,69375;3,0125;4,0825
6121;2;2,55875;3,3775;4,7475
6122;2;2,55875;3,3775;4,7475
6123;2;2,55875;3,3775;4,7475
6129;2;2,55875;3,3775;4,7475
6130;3;2,5625;2,991666667;4,165
6210;6;2,4435;2,963;4,367
6221;2;2,55875;3,3775;4,7475
6222;2;3,31375;2,8575;4,4175
6223;2;3,31375;2,8575;4,4175
6224;2;2,24875;3,4475;5,2475
6310;1;2,25;1,27;2
6320;1;3,57;2,38;2,33
6330;2;2,91;1,825;2,165
6340;2;2,745;2,5;4,5
7111;1;3;5;5,67
7112;2;4,245;1,835;3,83
7113;2;3,85;1,96;4,335
7114;3;3,876666667;2,066666667;4
7115;1;4,195;2,07;4,33
7119;5;3,763;2,393;3,301
7121;1;4,09;1,81;3,67
7122;4;3,5525;1,19;3,335
7123;3;3,346666667;1,613333333;3,666666667
7124;2;3,35;1,52;4
7125;1;3,74;1,62;3
7126;2;4,0625;1,885;4
7127;2;3,59;4,06;5,5025
7131;2;3,15;1,45;3
7132;2;3,445;1,12;3,335
7133;1;NA;NA;NA
7211;2;3,735;1,72;2,67
7212;2;2,815;1,385;3,2525
7213;3;3,566666667;2,393333333;3,78
7214;3;3,903333333;2,17;2,553333333
7215;1;4,07;1,47;3,33
7221;2;3,6;1,97;2
7222;6;3,448333333;3,215;3,946666667
7223;12;3,136363636;1,970909091;2,849090909
7224;2;3,15;1,825;2,5
7231;10;3,229;2,681;4,267
7232;2;3,44;3,555;4,67
7233;9;3,727777778;2,958888889;4,444444444
7234;2;3,665;4,37;5,17
7311;5;3,2475;3,8525;4,585
7312;2;3,32;4,665;5
7313;1;3,16;3,18;2,666666667
7314;2;2,7875;3,17375;4,24875
7315;3;3,008333333;1,505833333;2,499166667
7316;2;3,07;3,11;3
7317;2;2,36;4,6;5,33
7318;1;3,2;1,15;2,67
7319;1;2,36;4,6;5,33
7321;2;3,01;4,645;3,83
7322;1;2,69;2,17;3
7323;1;3,21;1,57;3,67
